cbsacode,statename,fipsstatecode,cbsatitle
37980,Pennsylvania,42,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
27780,Pennsylvania,42,"Johnstown, PA"
10900,Pennsylvania,42,"Allentown-Bethlehem-Easton, PA-NJ"
44300,Pennsylvania,42,"State College, PA"
14100,Pennsylvania,42,"Bloomsburg-Berwick, PA"
25420,Pennsylvania,42,"Harrisburg-Carlisle, PA"
21500,Pennsylvania,42,"Erie, PA"
16540,Pennsylvania,42,"Chambersburg-Waynesboro, PA"
42540,Pennsylvania,42,"Scranton--Wilkes-Barre--Hazleton, PA"
29540,Pennsylvania,42,"Lancaster, PA"
30140,Pennsylvania,42,"Lebanon, PA"
48700,Pennsylvania,42,"Williamsport, PA"
49660,Pennsylvania,42,"Youngstown-Warren-Boardman, OH-PA"
20700,Pennsylvania,42,"East Stroudsburg, PA"
35620,Pennsylvania,42,"New York-Newark-Jersey City, NY-NJ-PA"
49620,Pennsylvania,42,"York-Hanover, PA"
39300,Rhode Island,44,"Providence-Warwick, RI-MA"
12260,South Carolina,45,"Augusta-Richmond County, GA-SC"
24860,South Carolina,45,"Greenville-Anderson-Mauldin, SC"
25940,South Carolina,45,"Hilton Head Island-Bluffton-Beaufort, SC"
16700,South Carolina,45,"Charleston-North Charleston, SC"
17900,South Carolina,45,"Columbia, SC"
16740,South Carolina,45,"Charlotte-Concord-Gastonia, NC-SC"
22500,South Carolina,45,"Florence, SC"
34820,South Carolina,45,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC"
43900,South Carolina,45,"Spartanburg, SC"
44940,South Carolina,45,"Sumter, SC"
39660,South Dakota,46,"Rapid City, SD"
43620,South Dakota,46,"Sioux Falls, SD"
43580,South Dakota,46,"Sioux City, IA-NE-SD"
28940,Tennessee,47,"Knoxville, TN"
17420,Tennessee,47,"Cleveland, TN"
34980,Tennessee,47,"Nashville-Davidson--Murfreesboro--Franklin, TN"
27740,Tennessee,47,"Johnson City, TN"
27180,Tennessee,47,"Jackson, TN"
32820,Tennessee,47,"Memphis, TN-MS-AR"
34100,Tennessee,47,"Morristown, TN"
16860,Tennessee,47,"Chattanooga, TN-GA"
28700,Tennessee,47,"Kingsport-Bristol-Bristol, TN-VA"
17300,Tennessee,47,"Clarksville, TN-KY"
18580,Texas,48,"Corpus Christi, TX"
48660,Texas,48,"Wichita Falls, TX"
11100,Texas,48,"Amarillo, TX"
41700,Texas,48,"San Antonio-New Braunfels, TX"
26420,Texas,48,"Houston-The Woodlands-Sugar Land, TX"
12420,Texas,48,"Austin-Round Rock, TX"
28660,Texas,48,"Killeen-Temple, TX"
45500,Texas,48,"Texarkana, TX-AR"
17780,Texas,48,"College Station-Bryan, TX"
10180,Texas,48,"Abilene, TX"
15180,Texas,48,"Brownsville-Harlingen, TX"
19100,Texas,48,"Dallas-Fort Worth-Arlington, TX"
31180,Texas,48,"Lubbock, TX"
36220,Texas,48,"Odessa, TX"
21340,Texas,48,"El Paso, TX"
47380,Texas,48,"Waco, TX"
47020,Texas,48,"Victoria, TX"
43300,Texas,48,"Sherman-Denison, TX"
30980,Texas,48,"Longview, TX"
13140,Texas,48,"Beaumont-Port Arthur, TX"
32580,Texas,48,"McAllen-Edinburg-Mission, TX"
41660,Texas,48,"San Angelo, TX"
33260,Texas,48,"Midland, TX"
46340,Texas,48,"Tyler, TX"
29700,Texas,48,"Laredo, TX"
36260,Utah,49,"Ogden-Clearfield, UT"
30860,Utah,49,"Logan, UT-ID"
39340,Utah,49,"Provo-Orem, UT"
41620,Utah,49,"Salt Lake City, UT"
41100,Utah,49,"St. George, UT"
15540,Vermont,50,"Burlington-South Burlington, VT"
16820,Virginia,51,"Charlottesville, VA"
40060,Virginia,51,"Richmond, VA"
31340,Virginia,51,"Lynchburg, VA"
47900,Virginia,51,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
44420,Virginia,51,"Staunton-Waynesboro, VA"
40220,Virginia,51,"Roanoke, VA"
13980,Virginia,51,"Blacksburg-Christiansburg-Radford, VA"
49020,Virginia,51,"Winchester, VA-WV"
47260,Virginia,51,"Virginia Beach-Norfolk-Newport News, VA-NC"
25500,Virginia,51,"Harrisonburg, VA"
28700,Virginia,51,"Kingsport-Bristol-Bristol, TN-VA"
30300,Washington,53,"Lewiston, ID-WA"
28420,Washington,53,"Kennewick-Richland, WA"
48300,Washington,53,"Wenatchee, WA"
38900,Washington,53,"Portland-Vancouver-Hillsboro, OR-WA"
47460,Washington,53,"Walla Walla, WA"
31020,Washington,53,"Longview, WA"
42660,Washington,53,"Seattle-Tacoma-Bellevue, WA"
14740,Washington,53,"Bremerton-Silverdale, WA"
44060,Washington,53,"Spokane-Spokane Valley, WA"
34580,Washington,53,"Mount Vernon-Anacortes, WA"
36500,Washington,53,"Olympia-Tumwater, WA"
13380,Washington,53,"Bellingham, WA"
49420,Washington,53,"Yakima, WA"
25180,West Virginia,54,"Hagerstown-Martinsburg, MD-WV"
16620,West Virginia,54,"Charleston, WV"
48260,West Virginia,54,"Weirton-Steubenville, WV-OH"
26580,West Virginia,54,"Huntington-Ashland, WV-KY-OH"
13220,West Virginia,54,"Beckley, WV"
49020,West Virginia,54,"Winchester, VA-WV"
47900,West Virginia,54,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
48540,West Virginia,54,"Wheeling, WV-OH"
19060,West Virginia,54,"Cumberland, MD-WV"
34060,West Virginia,54,"Morgantown, WV"
37620,West Virginia,54,"Parkersburg-Vienna, WV"
24580,Wisconsin,55,"Green Bay, WI"
11540,Wisconsin,55,"Appleton, WI"
20740,Wisconsin,55,"Eau Claire, WI"
31540,Wisconsin,55,"Madison, WI"
20260,Wisconsin,55,"Duluth, MN-WI"
22540,Wisconsin,55,"Fond du Lac, WI"
16980,Wisconsin,55,"Chicago-Naperville-Elgin, IL-IN-WI"
29100,Wisconsin,55,"La Crosse-Onalaska, WI-MN"
48140,Wisconsin,55,"Wausau, WI"
33340,Wisconsin,55,"Milwaukee-Waukesha-West Allis, WI"
33460,Wisconsin,55,"Minneapolis-St. Paul-Bloomington, MN-WI"
39540,Wisconsin,55,"Racine, WI"
27500,Wisconsin,55,"Janesville-Beloit, WI"
43100,Wisconsin,55,"Sheboygan, WI"
36780,Wisconsin,55,"Oshkosh-Neenah, WI"
16940,Wyoming,56,"Cheyenne, WY"
16220,Wyoming,56,"Casper, WY"
10380,Puerto Rico,72,"Aguadilla-Isabela, PR"
41980,Puerto Rico,72,"San Juan-Carolina-Caguas, PR"
11640,Puerto Rico,72,"Arecibo, PR"
25020,Puerto Rico,72,"Guayama, PR"
41900,Puerto Rico,72,"San Germán, PR"
38660,Puerto Rico,72,"Ponce, PR"
32420,Puerto Rico,72,"Mayagüez, PR"
